,% Area with Slope 0 to 5 Degrees,% Area with Slope 5 to 10 Degrees,% Area with Slope 10 to 15 Degrees,% Area with Slope 15 to 30 Degrees,% Area with Slope above 30 Degrees,Mean Elevation [$m$],Std. Dev. Elevation [$m$],Total Area [$km^2$]
CLPX,70.2,22.7,3.7,3.2,0.3,861.6,53.4,96.5
HV,84.5,14.4,0.8,0.1,0.1,382.0,22.8,29.0
